date,ticker,name,close,volume,group
2021-01-04,ALLT.TA,Allot,3418.0,27437,israel
2021-01-05,ALLT.TA,Allot,3300.0,46272,israel
2021-01-06,ALLT.TA,Allot,3413.0,37299,israel
2021-01-07,ALLT.TA,Allot,3600.0,139558,israel
2021-01-11,ALLT.TA,Allot,4380.0,229992,israel
2021-01-12,ALLT.TA,Allot,4442.0,141058,israel
2021-01-13,ALLT.TA,Allot,4580.0,140496,israel
2021-01-14,ALLT.TA,Allot,4707.0,43350,israel
2021-01-18,ALLT.TA,Allot,4501.0,39749,israel
2021-01-19,ALLT.TA,Allot,4550.0,129349,israel
2021-01-20,ALLT.TA,Allot,4780.0,32105,israel
2021-01-21,ALLT.TA,Allot,4797.0,45948,israel
2021-01-25,ALLT.TA,Allot,4634.0,31069,israel
2021-01-26,ALLT.TA,Allot,4505.0,66567,israel
2021-01-27,ALLT.TA,Allot,4351.0,48249,israel
2021-01-28,ALLT.TA,Allot,4200.0,77802,israel
2021-02-01,ALLT.TA,Allot,4158.0,46448,israel
2021-02-02,ALLT.TA,Allot,4300.0,111335,israel
2021-02-03,ALLT.TA,Allot,4456.0,104578,israel
2021-02-04,ALLT.TA,Allot,4325.0,267159,israel
2021-02-08,ALLT.TA,Allot,4682.0,39318,israel
2021-02-09,ALLT.TA,Allot,5150.0,231254,israel
2021-02-10,ALLT.TA,Allot,5316.0,164113,israel
2021-02-11,ALLT.TA,Allot,5070.0,67201,israel
2021-02-15,ALLT.TA,Allot,4943.0,23020,israel
2021-02-16,ALLT.TA,Allot,5000.0,65904,israel
2021-02-17,ALLT.TA,Allot,5173.0,54207,israel
2021-02-18,ALLT.TA,Allot,5050.0,36463,israel
2021-02-22,ALLT.TA,Allot,5147.0,21107,israel
2021-02-23,ALLT.TA,Allot,4788.0,47071,israel
2021-02-24,ALLT.TA,Allot,4894.0,44102,israel
2021-02-25,ALLT.TA,Allot,4890.0,29771,israel
2021-03-01,ALLT.TA,Allot,5100.0,50198,israel
2021-03-02,ALLT.TA,Allot,5228.0,53312,israel
2021-03-03,ALLT.TA,Allot,5117.0,44987,israel
2021-03-04,ALLT.TA,Allot,4920.0,81324,israel
2021-03-08,ALLT.TA,Allot,4770.0,2946,israel
2021-03-09,ALLT.TA,Allot,4859.0,31622,israel
2021-03-10,ALLT.TA,Allot,5110.0,26167,israel
2021-03-11,ALLT.TA,Allot,5250.0,31830,israel
2021-03-15,ALLT.TA,Allot,5485.0,26632,israel
2021-03-16,ALLT.TA,Allot,5373.0,52309,israel
2021-03-17,ALLT.TA,Allot,5190.0,28377,israel
2021-03-18,ALLT.TA,Allot,5204.0,24578,israel
2021-03-22,ALLT.TA,Allot,5098.0,19798,israel
2021-03-24,ALLT.TA,Allot,4942.0,25662,israel
2021-03-25,ALLT.TA,Allot,4769.0,23526,israel
2021-03-29,ALLT.TA,Allot,5159.0,18842,israel
2021-03-30,ALLT.TA,Allot,5065.0,2410,israel
2021-03-31,ALLT.TA,Allot,5232.0,10272,israel
2021-04-01,ALLT.TA,Allot,5367.0,15558,israel
2021-04-05,ALLT.TA,Allot,5508.0,151827,israel
2021-04-06,ALLT.TA,Allot,5743.0,103382,israel
2021-04-07,ALLT.TA,Allot,6230.0,123289,israel
2021-04-08,ALLT.TA,Allot,6564.0,60316,israel
2021-04-12,ALLT.TA,Allot,6000.0,53733,israel
2021-04-13,ALLT.TA,Allot,5829.0,65385,israel
2021-04-19,ALLT.TA,Allot,5678.0,40224,israel
2021-04-20,ALLT.TA,Allot,5680.0,30292,israel
2021-04-21,ALLT.TA,Allot,5707.0,20948,israel
2021-04-22,ALLT.TA,Allot,5958.0,32963,israel
2021-04-26,ALLT.TA,Allot,5905.0,58816,israel
2021-04-27,ALLT.TA,Allot,6033.0,39664,israel
2021-04-28,ALLT.TA,Allot,6077.0,30668,israel
2021-04-29,ALLT.TA,Allot,6006.0,33628,israel
2021-05-03,ALLT.TA,Allot,5992.0,37890,israel
2021-05-04,ALLT.TA,Allot,5800.0,40746,israel
2021-05-05,ALLT.TA,Allot,5908.0,42643,israel
2021-05-06,ALLT.TA,Allot,5700.0,72535,israel
2021-05-10,ALLT.TA,Allot,5632.0,36742,israel
